description,category,amount
Sent Rs 2956 to Lauren Dean,Transfer,2956
Spent ₹136 at Pizza Hut,Food,136
Transfer to AXGX54175766535794 NPR 17925,Transfer,17925
Public transport pass NPR 8118,Transportation,8118
groceries bought for Rs 3517,Shopping,3517
Money sent to Thomas Palmer ₹12997,Transfer,12997
Pharmacy purchase NPR 18406,Healthcare,18406
Fuel at Nepal Oil Rs 3122,Transportation,3122
Cleared gas dues Rs 17848,Utilities,17848
books bought for Rs 13415,Shopping,13415
Purchase at Daraz Rs 12321,Shopping,12321
Concert tickets Rs 18212,Entertainment,18212
Pharmacy purchase NPR 11531,Healthcare,11531
Movie tickets at Big Movies NPR 10277,Entertainment,10277
Paid Rs 16467 to Kathmandu University for tuition,Education,16467
Paid Rs 4654 for water bill,Utilities,4654
clothes bought for Rs 13639,Shopping,13639
Concert tickets Rs 5562,Entertainment,5562
Sent Rs 16113 to Aaron Parker,Transfer,16113
Money sent to Robert Rowe ₹19701,Transfer,19701
Purchase at Sastodeal Rs 13967,Shopping,13967
Paid Rs 16852 for gas bill,Utilities,16852
Movie tickets at QFX NPR 14676,Entertainment,14676
Medical bill at Mediciti Rs 8435,Healthcare,8435
Recharged Ncell mobile with NPR 12615,Mobile Topup,12615
Paid Rs 2179 for gas bill,Utilities,2179
Paid Rs 15512 for electricity bill,Utilities,15512
Pharmacy purchase NPR 18150,Healthcare,18150
Movie tickets at QFX NPR 17753,Entertainment,17753
internet bill payment NPR 13857,Utilities,13857
Education payment to Tribhuvan University Rs 7102,Education,7102
Public transport pass NPR 16758,Transportation,16758
Paid NPR 5924 for NTC topup,Mobile Topup,5924
Taxi fare Rs 11084,Transportation,11084
Doctor consultation fee Rs 16789,Healthcare,16789
Purchase at New Road Shop Rs 17193,Shopping,17193
Spent ₹8338 at Pizza Hut,Food,8338
Movie tickets at Big Movies NPR 4162,Entertainment,4162
Pharmacy purchase NPR 7001,Healthcare,7001
books bought for Rs 12521,Shopping,12521
internet bill payment NPR 19271,Utilities,19271
Transfer to TEDW83704166693994 NPR 10356,Transfer,10356
Spent ₹5225 at Roadhouse Cafe,Food,5225
groceries bought for Rs 17005,Shopping,17005
Purchase at Sastodeal Rs 17347,Shopping,17347
Recharged Ncell mobile with NPR 7597,Mobile Topup,7597
Pharmacy purchase NPR 3540,Healthcare,3540
Money sent to Paul Anthony ₹10644,Transfer,10644
YouTube Premium subscription Rs 5611,Entertainment,5611
Paid Rs 17697 for water bill,Utilities,17697
Dining at OR2K Rs 3687,Food,3687
Education payment to Kathmandu University Rs 7694,Education,7694
Concert tickets Rs 3251,Entertainment,3251
Medical bill at Grande Rs 4254,Healthcare,4254
Purchase at New Road Shop Rs 5122,Shopping,5122
Sent Rs 3792 to Laura Fowler,Transfer,3792
YouTube Premium subscription Rs 10433,Entertainment,10433
Online shopping 633,Shopping,633
Paid NPR 4833 for Smart Cell topup,Mobile Topup,4833
Recharged Smart Cell mobile with NPR 1112,Mobile Topup,1112
Taxi fare Rs 16545,Transportation,16545
Cleared electricity dues Rs 8577,Utilities,8577
Dining at Pizza Hut Rs 762,Food,762
Fuel at Sajha Petrol Rs 11365,Transportation,11365
Dining at OR2K Rs 6546,Food,6546
Money sent to Austin Owens ₹3479,Transfer,3479
Pharmacy purchase NPR 3430,Healthcare,3430
Paid Rs 12463 to Whitehouse College for tuition,Education,12463
Mobile recharge for NTC NPR 9308,Mobile Topup,9308
books bought for Rs 3118,Shopping,3118
Netflix subscription Rs 14320,Entertainment,14320
Netflix subscription Rs 15403,Entertainment,15403
Taxi fare Rs 903,Transportation,903
Mobile recharge for NTC NPR 18890,Mobile Topup,18890
Pharmacy purchase NPR 15688,Healthcare,15688
Cleared electricity dues Rs 7818,Utilities,7818
Taxi fare Rs 19554,Transportation,19554
Cleared internet dues Rs 18319,Utilities,18319
Movie tickets at QFX NPR 10848,Entertainment,10848
Paid NPR 14274 for NTC topup,Mobile Topup,14274
Transfer to INAS63930053339188 NPR 9679,Transfer,9679
Medical bill at Grande Rs 14314,Healthcare,14314
Paid Rs 7738 to Whitehouse College for tuition,Education,7738
Movie tickets at FCube NPR 6521,Entertainment,6521
Online shopping 11020,Shopping,11020
Purchase at Sastodeal Rs 6404,Shopping,6404
Money sent to Douglas Hall ₹11031,Transfer,11031
Netflix subscription Rs 3096,Entertainment,3096
Paid NPR 4651 for Smart Cell topup,Mobile Topup,4651
Fuel at Shiva Fuel Rs 3336,Transportation,3336
Money sent to Jeffrey Munoz ₹8604,Transfer,8604
Purchase at New Road Shop Rs 2123,Shopping,2123
Recharged NTC mobile with NPR 1026,Mobile Topup,1026
Paid Rs 14318 for electricity bill,Utilities,14318
Concert tickets Rs 12465,Entertainment,12465
Paid Rs 7163 for water bill,Utilities,7163
Pharmacy purchase NPR 444,Healthcare,444
Paid Rs 13575 to Tribhuvan University for tuition,Education,13575
Paid Rs 18408 to Whitehouse College for tuition,Education,18408
Spotify subscription Rs 6823,Entertainment,6823
Transfer to ODDO68523797172772 NPR 11421,Transfer,11421
Spent ₹684 at OR2K,Food,684
Concert tickets Rs 4841,Entertainment,4841
Doctor consultation fee Rs 9573,Healthcare,9573
books bought for Rs 8242,Shopping,8242
Online shopping 2191,Shopping,2191
Food order from OR2K ₹2239,Food,2239
Public transport pass NPR 7034,Transportation,7034
Recharged Ncell mobile with NPR 4396,Mobile Topup,4396
Purchase at Sastodeal Rs 98,Shopping,98
Recharged Ncell mobile with NPR 1934,Mobile Topup,1934
Spent ₹2523 at OR2K,Food,2523
Concert tickets Rs 11587,Entertainment,11587
Transfer to GCTS76664359867195 NPR 16901,Transfer,16901
Public transport pass NPR 12905,Transportation,12905
Purchase at New Road Shop Rs 10129,Shopping,10129
Purchase at Daraz Rs 2939,Shopping,2939
Amazon Prime subscription Rs 5196,Entertainment,5196
Taxi fare Rs 18997,Transportation,18997
Cleared electricity dues Rs 19857,Utilities,19857
Online shopping 18897,Shopping,18897
Cleared internet dues Rs 15153,Utilities,15153
Fuel at Shiva Fuel Rs 1397,Transportation,1397
Education payment to Whitehouse College Rs 4767,Education,4767
Purchase at Sastodeal Rs 14763,Shopping,14763
Paid Rs 18649 for gas bill,Utilities,18649
Spent ₹6365 at KFC,Food,6365
Transfer to IVQC77077640695468 NPR 17541,Transfer,17541
Public transport pass NPR 8767,Transportation,8767
Cleared water dues Rs 2203,Utilities,2203
Recharged NTC mobile with NPR 16304,Mobile Topup,16304
Netflix subscription Rs 19276,Entertainment,19276
Sent Rs 9198 to Jennifer Stewart,Transfer,9198
Pharmacy purchase NPR 18793,Healthcare,18793
Public transport pass NPR 8656,Transportation,8656
Sent 15288 to Whitehouse College for course fees,Education,15288
Food order from OR2K ₹11791,Food,11791
electricity bill payment NPR 19550,Utilities,19550
Pharmacy purchase NPR 19730,Healthcare,19730
Paid Rs 14219 for water bill,Utilities,14219
Pharmacy purchase NPR 3516,Healthcare,3516
Movie tickets at Big Movies NPR 3207,Entertainment,3207
Purchase at New Road Shop Rs 13543,Shopping,13543
Spent ₹6094 at Pizza Hut,Food,6094
Cleared electricity dues Rs 19124,Utilities,19124
Paid Rs 16187 for gas bill,Utilities,16187
Cleared water dues Rs 19558,Utilities,19558
Paid NPR 9743 for Smart Cell topup,Mobile Topup,9743
Doctor consultation fee Rs 11221,Healthcare,11221
Recharged NTC mobile with NPR 8565,Mobile Topup,8565
Concert tickets Rs 11846,Entertainment,11846
Purchase at New Road Shop Rs 17724,Shopping,17724
Sent Rs 791 to Justin Johnson,Transfer,791
Recharged NTC mobile with NPR 6450,Mobile Topup,6450
Purchase at Sastodeal Rs 10394,Shopping,10394
Money sent to Gail Hunter ₹880,Transfer,880
water bill payment NPR 9124,Utilities,9124
Fuel at Nepal Oil Rs 11173,Transportation,11173
Taxi fare Rs 19053,Transportation,19053
Spent ₹6848 at OR2K,Food,6848
Spent ₹5972 at OR2K,Food,5972
Food order from KFC ₹2239,Food,2239
Spent ₹17185 at OR2K,Food,17185
gas bill payment NPR 1133,Utilities,1133
Concert tickets Rs 12431,Entertainment,12431
Netflix subscription Rs 17206,Entertainment,17206
Concert tickets Rs 316,Entertainment,316
Recharged Ncell mobile with NPR 14808,Mobile Topup,14808
Money sent to Kimberly Parrish ₹15147,Transfer,15147
internet bill payment NPR 12181,Utilities,12181
Paid Rs 12171 to Whitehouse College for tuition,Education,12171
Education payment to Tribhuvan University Rs 17995,Education,17995
Money sent to Angela Gould ₹3472,Transfer,3472
Mobile recharge for NTC NPR 16381,Mobile Topup,16381
Pharmacy purchase NPR 8759,Healthcare,8759
Dining at OR2K Rs 19514,Food,19514
Spent ₹15785 at Roadhouse Cafe,Food,15785
Sent Rs 1971 to Natalie Flores,Transfer,1971
electronics bought for Rs 14865,Shopping,14865
Purchase at Daraz Rs 19441,Shopping,19441
Movie tickets at Big Movies NPR 15440,Entertainment,15440
YouTube Premium subscription Rs 19608,Entertainment,19608
Money sent to Russell Parker ₹6812,Transfer,6812
Money sent to Lucas Andrews ₹11318,Transfer,11318
Food order from Roadhouse Cafe ₹15199,Food,15199
Movie tickets at QFX NPR 15884,Entertainment,15884
Money sent to Mr. Jonathan Hill ₹11136,Transfer,11136
clothes bought for Rs 7485,Shopping,7485
Dining at KFC Rs 1991,Food,1991
Spotify subscription Rs 6703,Entertainment,6703
Concert tickets Rs 10226,Entertainment,10226
Sent Rs 7156 to Donald Richardson,Transfer,7156
Recharged NTC mobile with NPR 10301,Mobile Topup,10301
groceries bought for Rs 5057,Shopping,5057
Paid NPR 1058 for Ncell topup,Mobile Topup,1058
Education payment to Whitehouse College Rs 7983,Education,7983
Money sent to Kristin Preston ₹7573,Transfer,7573
Doctor consultation fee Rs 12760,Healthcare,12760
Concert tickets Rs 14164,Entertainment,14164
Education payment to Kathmandu University Rs 14769,Education,14769
Medical bill at Teaching Hospital Rs 14878,Healthcare,14878
Online shopping 11482,Shopping,11482
Concert tickets Rs 6711,Entertainment,6711
Transfer to RULX71224563967615 NPR 14811,Transfer,14811
Dining at Pizza Hut Rs 11156,Food,11156
Paid Rs 3986 to Whitehouse College for tuition,Education,3986
Sent Rs 6156 to Bonnie Santiago,Transfer,6156
Amazon Prime subscription Rs 17745,Entertainment,17745
Taxi fare Rs 18322,Transportation,18322
Movie tickets at FCube NPR 2297,Entertainment,2297
Taxi fare Rs 1847,Transportation,1847
Public transport pass NPR 17252,Transportation,17252
Paid Rs 11866 for water bill,Utilities,11866
Amazon Prime subscription Rs 9187,Entertainment,9187
Fuel at Sajha Petrol Rs 9442,Transportation,9442
Paid Rs 3726 for gas bill,Utilities,3726
Cleared water dues Rs 19153,Utilities,19153
Concert tickets Rs 13640,Entertainment,13640
Education payment to Whitehouse College Rs 15201,Education,15201
Pharmacy purchase NPR 18357,Healthcare,18357
Paid Rs 5811 for water bill,Utilities,5811
Online shopping 2116,Shopping,2116
Online shopping 18831,Shopping,18831
Public transport pass NPR 16572,Transportation,16572
Education payment to Whitehouse College Rs 16341,Education,16341
Sent 8202 to Tribhuvan University for course fees,Education,8202
Paid Rs 13680 for gas bill,Utilities,13680
Cleared gas dues Rs 6445,Utilities,6445
Food order from OR2K ₹3558,Food,3558
Mobile recharge for Smart Cell NPR 17744,Mobile Topup,17744
Online shopping 18713,Shopping,18713
Taxi fare Rs 9450,Transportation,9450
Dining at KFC Rs 636,Food,636
Paid NPR 165 for Smart Cell topup,Mobile Topup,165
Sent 16809 to Whitehouse College for course fees,Education,16809
electricity bill payment NPR 4037,Utilities,4037
Mobile recharge for Ncell NPR 15001,Mobile Topup,15001
groceries bought for Rs 12305,Shopping,12305
Online shopping 7071,Shopping,7071
Mobile recharge for Smart Cell NPR 1597,Mobile Topup,1597
Recharged NTC mobile with NPR 11643,Mobile Topup,11643
Education payment to Whitehouse College Rs 8153,Education,8153
Dining at OR2K Rs 13680,Food,13680
Dining at Roadhouse Cafe Rs 17911,Food,17911
books bought for Rs 12776,Shopping,12776
Transfer to WRSI70701007462496 NPR 18931,Transfer,18931
Paid Rs 11611 for internet bill,Utilities,11611
Fuel at Nepal Oil Rs 15643,Transportation,15643
Cleared electricity dues Rs 17314,Utilities,17314
Movie tickets at QFX NPR 14256,Entertainment,14256
Transfer to LSBN42754951664196 NPR 17061,Transfer,17061
Sent 870 to Whitehouse College for course fees,Education,870
Fuel at Nepal Oil Rs 11963,Transportation,11963
Paid Rs 7301 for electricity bill,Utilities,7301
Mobile recharge for Ncell NPR 5778,Mobile Topup,5778
Mobile recharge for NTC NPR 19291,Mobile Topup,19291
Cleared gas dues Rs 15760,Utilities,15760
Spent ₹17856 at OR2K,Food,17856
Recharged NTC mobile with NPR 11031,Mobile Topup,11031
Sent 5291 to Whitehouse College for course fees,Education,5291
Education payment to Whitehouse College Rs 3295,Education,3295
Sent Rs 6268 to Ryan Martin,Transfer,6268
Movie tickets at QFX NPR 14213,Entertainment,14213
Taxi fare Rs 4619,Transportation,4619
electronics bought for Rs 14580,Shopping,14580
Money sent to Amanda Rivera ₹18047,Transfer,18047
Money sent to Julie Powell ₹2890,Transfer,2890
Taxi fare Rs 15839,Transportation,15839
Purchase at Daraz Rs 14519,Shopping,14519
Cleared internet dues Rs 702,Utilities,702
Paid Rs 12171 for electricity bill,Utilities,12171
Cleared electricity dues Rs 16172,Utilities,16172
Public transport pass NPR 6027,Transportation,6027
Sent 794 to Kathmandu University for course fees,Education,794
Spent ₹19380 at KFC,Food,19380
Education payment to Tribhuvan University Rs 18948,Education,18948
Purchase at Daraz Rs 13583,Shopping,13583
Education payment to Tribhuvan University Rs 8443,Education,8443
Pharmacy purchase NPR 12199,Healthcare,12199
Netflix subscription Rs 17215,Entertainment,17215
Dining at Roadhouse Cafe Rs 1972,Food,1972
Purchase at Sastodeal Rs 5434,Shopping,5434
Doctor consultation fee Rs 3211,Healthcare,3211
Fuel at Shiva Fuel Rs 2347,Transportation,2347
Cleared gas dues Rs 18525,Utilities,18525
Recharged Ncell mobile with NPR 15152,Mobile Topup,15152
books bought for Rs 549,Shopping,549
Food order from KFC ₹4282,Food,4282
Paid NPR 17755 for Smart Cell topup,Mobile Topup,17755
Recharged Ncell mobile with NPR 17748,Mobile Topup,17748
Mobile recharge for Ncell NPR 14386,Mobile Topup,14386
Paid NPR 14606 for Smart Cell topup,Mobile Topup,14606
Dining at Roadhouse Cafe Rs 8723,Food,8723
Sent Rs 5875 to Hannah Sexton,Transfer,5875
Food order from OR2K ₹3950,Food,3950
electronics bought for Rs 13646,Shopping,13646
Doctor consultation fee Rs 16538,Healthcare,16538
Sent 2040 to Kathmandu University for course fees,Education,2040
Sent 6420 to Kathmandu University for course fees,Education,6420
Movie tickets at FCube NPR 11458,Entertainment,11458
Mobile recharge for NTC NPR 15685,Mobile Topup,15685
Spent ₹10623 at Pizza Hut,Food,10623
Transfer to CYEQ87626651581633 NPR 16717,Transfer,16717
Dining at OR2K Rs 14025,Food,14025
water bill payment NPR 3859,Utilities,3859
Recharged Ncell mobile with NPR 11755,Mobile Topup,11755
Paid NPR 4417 for NTC topup,Mobile Topup,4417
Spent ₹2900 at OR2K,Food,2900
Movie tickets at Big Movies NPR 10817,Entertainment,10817
Spent ₹9649 at Roadhouse Cafe,Food,9649
Cleared gas dues Rs 3964,Utilities,3964
Sent Rs 5882 to Matthew Taylor,Transfer,5882
Pharmacy purchase NPR 3992,Healthcare,3992
Food order from Pizza Hut ₹12103,Food,12103
Sent 13392 to Kathmandu University for course fees,Education,13392
Medical bill at Grande Rs 827,Healthcare,827
Mobile recharge for Ncell NPR 15646,Mobile Topup,15646
Purchase at New Road Shop Rs 546,Shopping,546
books bought for Rs 2367,Shopping,2367
Sent 3238 to Kathmandu University for course fees,Education,3238
Mobile recharge for Ncell NPR 19888,Mobile Topup,19888
Medical bill at Norvic Rs 4481,Healthcare,4481
Netflix subscription Rs 6581,Entertainment,6581
Education payment to Kathmandu University Rs 2905,Education,2905
Fuel at Nepal Oil Rs 6482,Transportation,6482
Food order from Pizza Hut ₹16198,Food,16198
Food order from Pizza Hut ₹12789,Food,12789
Fuel at Shiva Fuel Rs 11293,Transportation,11293
Concert tickets Rs 14952,Entertainment,14952
Purchase at Daraz Rs 8769,Shopping,8769
Education payment to Kathmandu University Rs 9768,Education,9768
internet bill payment NPR 13645,Utilities,13645
Paid Rs 9308 for electricity bill,Utilities,9308
Purchase at New Road Shop Rs 12279,Shopping,12279
Medical bill at Grande Rs 19567,Healthcare,19567
Purchase at New Road Shop Rs 13567,Shopping,13567
Cleared water dues Rs 10464,Utilities,10464
Education payment to Kathmandu University Rs 6642,Education,6642
Concert tickets Rs 1761,Entertainment,1761
Education payment to Kathmandu University Rs 1639,Education,1639
Movie tickets at Big Movies NPR 18764,Entertainment,18764
Transfer to CVED49799820578914 NPR 15454,Transfer,15454
Sent Rs 14263 to Mario Meyers,Transfer,14263
Transfer to DQXF91753142723051 NPR 10013,Transfer,10013
Dining at KFC Rs 11064,Food,11064
Doctor consultation fee Rs 5499,Healthcare,5499
Concert tickets Rs 12391,Entertainment,12391
Online shopping 4686,Shopping,4686
Concert tickets Rs 15297,Entertainment,15297
electronics bought for Rs 6611,Shopping,6611
Spent ₹8216 at Pizza Hut,Food,8216
Public transport pass NPR 1665,Transportation,1665
Movie tickets at QFX NPR 15835,Entertainment,15835
Recharged Smart Cell mobile with NPR 9019,Mobile Topup,9019
Sent Rs 2436 to Melissa Wilson,Transfer,2436
Money sent to Allison Parks ₹12629,Transfer,12629
Public transport pass NPR 14159,Transportation,14159
Spent ₹1584 at KFC,Food,1584
internet bill payment NPR 12358,Utilities,12358
Taxi fare Rs 18984,Transportation,18984
clothes bought for Rs 14580,Shopping,14580
Spent ₹5863 at Pizza Hut,Food,5863
Concert tickets Rs 11282,Entertainment,11282
Public transport pass NPR 19935,Transportation,19935
Doctor consultation fee Rs 14938,Healthcare,14938
Sent Rs 3241 to Susan Sanchez,Transfer,3241
Spent ₹1638 at OR2K,Food,1638
Cleared water dues Rs 427,Utilities,427
Pharmacy purchase NPR 7624,Healthcare,7624
Doctor consultation fee Rs 19212,Healthcare,19212
Sent Rs 15829 to Thomas Bass,Transfer,15829
clothes bought for Rs 14597,Shopping,14597
YouTube Premium subscription Rs 9497,Entertainment,9497
Education payment to Kathmandu University Rs 1174,Education,1174
Doctor consultation fee Rs 7640,Healthcare,7640
Paid Rs 7335 to Whitehouse College for tuition,Education,7335
Online shopping 18287,Shopping,18287
Doctor consultation fee Rs 3269,Healthcare,3269
Recharged Smart Cell mobile with NPR 12015,Mobile Topup,12015
Medical bill at Mediciti Rs 16282,Healthcare,16282
Paid Rs 4795 for water bill,Utilities,4795
Online shopping 13769,Shopping,13769
Spent ₹12084 at Roadhouse Cafe,Food,12084
Purchase at New Road Shop Rs 12004,Shopping,12004
Cleared electricity dues Rs 15131,Utilities,15131
Sent Rs 12035 to Brooke Brown,Transfer,12035
Food order from Pizza Hut ₹7381,Food,7381
Fuel at Shiva Fuel Rs 16045,Transportation,16045
Food order from Pizza Hut ₹15385,Food,15385
Spent ₹10413 at KFC,Food,10413
Food order from KFC ₹7129,Food,7129
Purchase at Daraz Rs 18454,Shopping,18454
electricity bill payment NPR 3054,Utilities,3054
Mobile recharge for NTC NPR 19858,Mobile Topup,19858
Purchase at Sastodeal Rs 10315,Shopping,10315
electricity bill payment NPR 3307,Utilities,3307
YouTube Premium subscription Rs 15757,Entertainment,15757
Mobile recharge for NTC NPR 13705,Mobile Topup,13705
Money sent to Eric Hughes ₹19040,Transfer,19040
electricity bill payment NPR 15330,Utilities,15330
Online shopping 3378,Shopping,3378
Money sent to Angela Salinas ₹18416,Transfer,18416
Online shopping 634,Shopping,634
Concert tickets Rs 17983,Entertainment,17983
electronics bought for Rs 15767,Shopping,15767
Public transport pass NPR 5043,Transportation,5043
Paid Rs 13475 to Kathmandu University for tuition,Education,13475
Pharmacy purchase NPR 12244,Healthcare,12244
Education payment to Whitehouse College Rs 11963,Education,11963
Food order from OR2K ₹19688,Food,19688
Medical bill at Norvic Rs 10782,Healthcare,10782
Paid NPR 14447 for NTC topup,Mobile Topup,14447
Netflix subscription Rs 10320,Entertainment,10320
Dining at OR2K Rs 15554,Food,15554
Taxi fare Rs 15886,Transportation,15886
Doctor consultation fee Rs 18756,Healthcare,18756
Pharmacy purchase NPR 16750,Healthcare,16750
Taxi fare Rs 12697,Transportation,12697
Education payment to Tribhuvan University Rs 13834,Education,13834
clothes bought for Rs 6413,Shopping,6413
Sent Rs 19566 to Timothy Valencia,Transfer,19566
Spent ₹3586 at KFC,Food,3586
Online shopping 14551,Shopping,14551
YouTube Premium subscription Rs 11751,Entertainment,11751
Mobile recharge for Smart Cell NPR 10077,Mobile Topup,10077
Taxi fare Rs 917,Transportation,917
Transfer to YTSH02323763498384 NPR 10754,Transfer,10754
gas bill payment NPR 7701,Utilities,7701
Cleared internet dues Rs 4373,Utilities,4373
water bill payment NPR 16053,Utilities,16053
Public transport pass NPR 6656,Transportation,6656
Fuel at Shiva Fuel Rs 18667,Transportation,18667
Online shopping 884,Shopping,884
Sent 9691 to Whitehouse College for course fees,Education,9691
Public transport pass NPR 18308,Transportation,18308
Paid Rs 3554 to Tribhuvan University for tuition,Education,3554
Public transport pass NPR 18044,Transportation,18044
Doctor consultation fee Rs 17040,Healthcare,17040
Concert tickets Rs 8078,Entertainment,8078
Doctor consultation fee Rs 13904,Healthcare,13904
Taxi fare Rs 12418,Transportation,12418
Medical bill at Mediciti Rs 6927,Healthcare,6927
Sent Rs 14956 to Leslie Moran,Transfer,14956
Spent ₹11993 at Pizza Hut,Food,11993
Dining at KFC Rs 1649,Food,1649
Paid NPR 11587 for Ncell topup,Mobile Topup,11587
Concert tickets Rs 2112,Entertainment,2112
Transfer to LVTF66935590598897 NPR 3042,Transfer,3042
Pharmacy purchase NPR 15300,Healthcare,15300
Movie tickets at FCube NPR 5797,Entertainment,5797
Money sent to Alexis Crawford ₹13992,Transfer,13992
Dining at OR2K Rs 19884,Food,19884
Spotify subscription Rs 9217,Entertainment,9217
Food order from OR2K ₹1719,Food,1719
Paid Rs 6450 for water bill,Utilities,6450
Taxi fare Rs 17260,Transportation,17260
Pharmacy purchase NPR 16379,Healthcare,16379
Education payment to Tribhuvan University Rs 7157,Education,7157
electricity bill payment NPR 18897,Utilities,18897
electricity bill payment NPR 19092,Utilities,19092
Concert tickets Rs 17269,Entertainment,17269
Paid Rs 19861 for water bill,Utilities,19861
Sent Rs 2213 to Rebecca Shelton,Transfer,2213
Spent ₹10553 at Pizza Hut,Food,10553
Pharmacy purchase NPR 10353,Healthcare,10353
Spent ₹6019 at KFC,Food,6019
Spotify subscription Rs 10111,Entertainment,10111
Paid Rs 6476 to Kathmandu University for tuition,Education,6476
Movie tickets at FCube NPR 17669,Entertainment,17669
Fuel at Sajha Petrol Rs 13915,Transportation,13915
Public transport pass NPR 9325,Transportation,9325
Doctor consultation fee Rs 18793,Healthcare,18793
Purchase at Sastodeal Rs 16962,Shopping,16962
Movie tickets at FCube NPR 14791,Entertainment,14791
Sent 9566 to Kathmandu University for course fees,Education,9566
Spent ₹18003 at Pizza Hut,Food,18003
Purchase at New Road Shop Rs 5519,Shopping,5519
Spotify subscription Rs 15771,Entertainment,15771
Concert tickets Rs 10202,Entertainment,10202
gas bill payment NPR 10000,Utilities,10000
Medical bill at Mediciti Rs 18967,Healthcare,18967
Public transport pass NPR 1996,Transportation,1996
Cleared electricity dues Rs 17864,Utilities,17864
Mobile recharge for NTC NPR 6223,Mobile Topup,6223
Netflix subscription Rs 7172,Entertainment,7172
Spent ₹7137 at Roadhouse Cafe,Food,7137
Food order from Pizza Hut ₹6809,Food,6809
Doctor consultation fee Rs 11738,Healthcare,11738
Education payment to Kathmandu University Rs 13746,Education,13746
Paid NPR 127 for Smart Cell topup,Mobile Topup,127
Sent 16737 to Whitehouse College for course fees,Education,16737
Transfer to PNUY13214834736910 NPR 13336,Transfer,13336
Education payment to Tribhuvan University Rs 6822,Education,6822
gas bill payment NPR 11219,Utilities,11219
Concert tickets Rs 10269,Entertainment,10269
Public transport pass NPR 12105,Transportation,12105
Transfer to TRAP31786021793345 NPR 9919,Transfer,9919
Movie tickets at QFX NPR 8134,Entertainment,8134
Medical bill at Norvic Rs 16754,Healthcare,16754
Money sent to Betty Kelley ₹11818,Transfer,11818
Online shopping 4974,Shopping,4974
clothes bought for Rs 5390,Shopping,5390
electronics bought for Rs 1936,Shopping,1936
Concert tickets Rs 13249,Entertainment,13249
