description,category,amount
Concert tickets Rs 706,Entertainment,706
Fuel at Nepal Oil Rs 12788,Transportation,12788
Transfer to COFY34159057751587 NPR 15897,Transfer,15897
Taxi fare Rs 4972,Transportation,4972
electronics bought for Rs 14853,Shopping,14853
Fuel at Shiva Fuel Rs 1131,Transportation,1131
Education payment to Tribhuvan University Rs 4694,Education,4694
Recharged Ncell mobile with NPR 18412,Mobile Topup,18412
Cleared electricity dues Rs 4024,Utilities,4024
Amazon Prime subscription Rs 1320,Entertainment,1320
Food order from Roadhouse Cafe ₹4555,Food,4555
books bought for Rs 18511,Shopping,18511
books bought for Rs 12208,Shopping,12208
Taxi fare Rs 1326,Transportation,1326
Paid Rs 9266 for gas bill,Utilities,9266
internet bill payment NPR 16951,Utilities,16951
Amazon Prime subscription Rs 19300,Entertainment,19300
Purchase at Sastodeal Rs 7032,Shopping,7032
Spent ₹6975 at Pizza Hut,Food,6975
gas bill payment NPR 11233,Utilities,11233
Food order from Pizza Hut ₹5878,Food,5878
Public transport pass NPR 9323,Transportation,9323
Mobile recharge for Smart Cell NPR 14188,Mobile Topup,14188
YouTube Premium subscription Rs 672,Entertainment,672
Paid NPR 6231 for NTC topup,Mobile Topup,6231
Paid NPR 6199 for Smart Cell topup,Mobile Topup,6199
Transfer to VSWG56801792185686 NPR 8656,Transfer,8656
Money sent to Wesley Lee ₹1369,Transfer,1369
Concert tickets Rs 14509,Entertainment,14509
Concert tickets Rs 19796,Entertainment,19796
Paid Rs 19075 for gas bill,Utilities,19075
Public transport pass NPR 19898,Transportation,19898
clothes bought for Rs 5838,Shopping,5838
Dining at Roadhouse Cafe Rs 18715,Food,18715
Medical bill at Mediciti Rs 7633,Healthcare,7633
Sent 19758 to Whitehouse College for course fees,Education,19758
Purchase at Daraz Rs 14140,Shopping,14140
Transfer to FLCL88907547918422 NPR 3023,Transfer,3023
Pharmacy purchase NPR 15177,Healthcare,15177
Public transport pass NPR 7268,Transportation,7268
Paid Rs 11447 for electricity bill,Utilities,11447
Fuel at Nepal Oil Rs 6791,Transportation,6791
Movie tickets at QFX NPR 14073,Entertainment,14073
Sent Rs 13365 to Adriana Bishop,Transfer,13365
Paid NPR 8539 for Smart Cell topup,Mobile Topup,8539
Fuel at Shiva Fuel Rs 12738,Transportation,12738
Education payment to Kathmandu University Rs 9293,Education,9293
Taxi fare Rs 13767,Transportation,13767
Medical bill at Teaching Hospital Rs 10571,Healthcare,10571
Fuel at Sajha Petrol Rs 17828,Transportation,17828
Pharmacy purchase NPR 19566,Healthcare,19566
Movie tickets at QFX NPR 15935,Entertainment,15935
Paid NPR 1647 for Smart Cell topup,Mobile Topup,1647
Movie tickets at FCube NPR 9861,Entertainment,9861
water bill payment NPR 3245,Utilities,3245
books bought for Rs 9210,Shopping,9210
Sent 18435 to Whitehouse College for course fees,Education,18435
Sent Rs 4713 to Jennifer Williams,Transfer,4713
Spent ₹6481 at KFC,Food,6481
Sent 1600 to Whitehouse College for course fees,Education,1600
Paid NPR 2097 for NTC topup,Mobile Topup,2097
Amazon Prime subscription Rs 6705,Entertainment,6705
Recharged Smart Cell mobile with NPR 12316,Mobile Topup,12316
Spent ₹13558 at KFC,Food,13558
Cleared electricity dues Rs 15307,Utilities,15307
Recharged NTC mobile with NPR 7529,Mobile Topup,7529
Spotify subscription Rs 15071,Entertainment,15071
Paid NPR 9671 for Smart Cell topup,Mobile Topup,9671
Education payment to Kathmandu University Rs 9327,Education,9327
Public transport pass NPR 11051,Transportation,11051
Education payment to Whitehouse College Rs 19085,Education,19085
Public transport pass NPR 6111,Transportation,6111
Paid Rs 15990 for gas bill,Utilities,15990
Doctor consultation fee Rs 18102,Healthcare,18102
Dining at OR2K Rs 4409,Food,4409
Doctor consultation fee Rs 16302,Healthcare,16302
Purchase at New Road Shop Rs 13818,Shopping,13818
Dining at Roadhouse Cafe Rs 12201,Food,12201
Sent Rs 16909 to Tonya Johnson,Transfer,16909
Online shopping 14665,Shopping,14665
Pharmacy purchase NPR 5197,Healthcare,5197
Purchase at Sastodeal Rs 16184,Shopping,16184
Transfer to YYGI64078479894109 NPR 9071,Transfer,9071
Taxi fare Rs 18383,Transportation,18383
Public transport pass NPR 8363,Transportation,8363
Spent ₹13506 at Pizza Hut,Food,13506
Purchase at New Road Shop Rs 1649,Shopping,1649
Mobile recharge for NTC NPR 10593,Mobile Topup,10593
Doctor consultation fee Rs 11308,Healthcare,11308
Cleared internet dues Rs 4959,Utilities,4959
Pharmacy purchase NPR 12343,Healthcare,12343
Cleared water dues Rs 17867,Utilities,17867
Mobile recharge for Smart Cell NPR 18630,Mobile Topup,18630
groceries bought for Rs 15770,Shopping,15770
Concert tickets Rs 18117,Entertainment,18117
Paid Rs 17079 to Kathmandu University for tuition,Education,17079
Paid Rs 12899 for water bill,Utilities,12899
Mobile recharge for NTC NPR 18343,Mobile Topup,18343
Sent Rs 15866 to Elizabeth Perry,Transfer,15866
Spent ₹13610 at OR2K,Food,13610
Paid Rs 5374 for gas bill,Utilities,5374
Dining at OR2K Rs 18692,Food,18692
Sent 7725 to Tribhuvan University for course fees,Education,7725
Purchase at New Road Shop Rs 2953,Shopping,2953
Transfer to CRDA61253441939008 NPR 549,Transfer,549
Dining at OR2K Rs 3385,Food,3385
Online shopping 3922,Shopping,3922
Medical bill at Teaching Hospital Rs 18193,Healthcare,18193
Dining at Roadhouse Cafe Rs 5182,Food,5182
electricity bill payment NPR 18354,Utilities,18354
Purchase at Daraz Rs 11231,Shopping,11231
Online shopping 18821,Shopping,18821
Mobile recharge for NTC NPR 3629,Mobile Topup,3629
Doctor consultation fee Rs 14111,Healthcare,14111
Education payment to Kathmandu University Rs 3427,Education,3427
Education payment to Whitehouse College Rs 1164,Education,1164
Paid Rs 7695 to Tribhuvan University for tuition,Education,7695
Sent 9697 to Whitehouse College for course fees,Education,9697
Online shopping 10606,Shopping,10606
groceries bought for Rs 9974,Shopping,9974
Mobile recharge for Ncell NPR 10308,Mobile Topup,10308
Fuel at Nepal Oil Rs 7499,Transportation,7499
Food order from Roadhouse Cafe ₹8042,Food,8042
Food order from Roadhouse Cafe ₹14191,Food,14191
Dining at Roadhouse Cafe Rs 4038,Food,4038
clothes bought for Rs 7168,Shopping,7168
Fuel at Shiva Fuel Rs 6154,Transportation,6154
Money sent to Trevor Booth ₹12212,Transfer,12212
Recharged Ncell mobile with NPR 11123,Mobile Topup,11123
Money sent to Lawrence Bell ₹14398,Transfer,14398
Pharmacy purchase NPR 1818,Healthcare,1818
Online shopping 1043,Shopping,1043
Medical bill at Mediciti Rs 11927,Healthcare,11927
Spent ₹16449 at OR2K,Food,16449
Transfer to VECV62440353021333 NPR 17503,Transfer,17503
Sent 2107 to Tribhuvan University for course fees,Education,2107
Education payment to Whitehouse College Rs 13458,Education,13458
Medical bill at Teaching Hospital Rs 16716,Healthcare,16716
Spent ₹16768 at KFC,Food,16768
Taxi fare Rs 19436,Transportation,19436
Money sent to Melissa Hart ₹17316,Transfer,17316
Cleared water dues Rs 14030,Utilities,14030
Food order from Pizza Hut ₹1444,Food,1444
Dining at KFC Rs 7660,Food,7660
Dining at Roadhouse Cafe Rs 5557,Food,5557
Sent 3397 to Whitehouse College for course fees,Education,3397
Public transport pass NPR 11437,Transportation,11437
Food order from Roadhouse Cafe ₹9453,Food,9453
Money sent to Kimberly Henderson ₹16716,Transfer,16716
groceries bought for Rs 7762,Shopping,7762
Taxi fare Rs 8731,Transportation,8731
Education payment to Tribhuvan University Rs 3148,Education,3148
Money sent to Charles Johnson ₹3593,Transfer,3593
Purchase at Daraz Rs 18488,Shopping,18488
water bill payment NPR 14848,Utilities,14848
Medical bill at Grande Rs 15797,Healthcare,15797
Online shopping 10357,Shopping,10357
Medical bill at Norvic Rs 19319,Healthcare,19319
Money sent to Alicia Curtis ₹8057,Transfer,8057
Pharmacy purchase NPR 19583,Healthcare,19583
Doctor consultation fee Rs 9099,Healthcare,9099
Food order from OR2K ₹9587,Food,9587
Concert tickets Rs 11259,Entertainment,11259
Food order from Pizza Hut ₹2681,Food,2681
Spotify subscription Rs 12208,Entertainment,12208
Dining at Roadhouse Cafe Rs 1544,Food,1544
Pharmacy purchase NPR 3966,Healthcare,3966
Mobile recharge for Smart Cell NPR 17510,Mobile Topup,17510
Purchase at New Road Shop Rs 14567,Shopping,14567
Doctor consultation fee Rs 15218,Healthcare,15218
Food order from KFC ₹19388,Food,19388
Doctor consultation fee Rs 6408,Healthcare,6408
Medical bill at Grande Rs 6141,Healthcare,6141
Food order from OR2K ₹15006,Food,15006
Fuel at Nepal Oil Rs 1438,Transportation,1438
Paid Rs 5998 to Kathmandu University for tuition,Education,5998
Online shopping 19183,Shopping,19183
Recharged NTC mobile with NPR 5641,Mobile Topup,5641
YouTube Premium subscription Rs 14911,Entertainment,14911
Spent ₹17453 at Pizza Hut,Food,17453
Cleared water dues Rs 7686,Utilities,7686
Spotify subscription Rs 14027,Entertainment,14027
Paid Rs 5288 to Tribhuvan University for tuition,Education,5288
Sent 17920 to Whitehouse College for course fees,Education,17920
Public transport pass NPR 15174,Transportation,15174
Education payment to Whitehouse College Rs 12031,Education,12031
Education payment to Whitehouse College Rs 2507,Education,2507
Sent Rs 6653 to Jon Rubio,Transfer,6653
Paid Rs 17693 for water bill,Utilities,17693
Pharmacy purchase NPR 4600,Healthcare,4600
Education payment to Tribhuvan University Rs 14414,Education,14414
gas bill payment NPR 9846,Utilities,9846
Recharged Smart Cell mobile with NPR 16619,Mobile Topup,16619
Cleared water dues Rs 1541,Utilities,1541
Online shopping 1412,Shopping,1412
Education payment to Tribhuvan University Rs 11303,Education,11303
Pharmacy purchase NPR 15423,Healthcare,15423
Recharged Smart Cell mobile with NPR 18649,Mobile Topup,18649
Concert tickets Rs 13154,Entertainment,13154
electricity bill payment NPR 19076,Utilities,19076
Mobile recharge for NTC NPR 14294,Mobile Topup,14294
Paid NPR 9404 for NTC topup,Mobile Topup,9404
Paid Rs 11150 for electricity bill,Utilities,11150
Sent Rs 10014 to Mr. Shawn Davis,Transfer,10014
Mobile recharge for NTC NPR 8333,Mobile Topup,8333
Concert tickets Rs 7944,Entertainment,7944
Food order from OR2K ₹17900,Food,17900
Recharged Smart Cell mobile with NPR 5307,Mobile Topup,5307
Paid Rs 11201 to Tribhuvan University for tuition,Education,11201
Concert tickets Rs 4434,Entertainment,4434
Paid Rs 2759 for water bill,Utilities,2759
Spotify subscription Rs 2979,Entertainment,2979
Taxi fare Rs 77,Transportation,77
Paid NPR 18773 for NTC topup,Mobile Topup,18773
Education payment to Tribhuvan University Rs 3426,Education,3426
Paid Rs 18638 for electricity bill,Utilities,18638
Sent 3016 to Tribhuvan University for course fees,Education,3016
Purchase at Daraz Rs 10274,Shopping,10274
Netflix subscription Rs 9081,Entertainment,9081
Public transport pass NPR 18301,Transportation,18301
Doctor consultation fee Rs 15264,Healthcare,15264
Sent 5213 to Kathmandu University for course fees,Education,5213
Paid Rs 17850 to Tribhuvan University for tuition,Education,17850
Pharmacy purchase NPR 18994,Healthcare,18994
Sent 5862 to Kathmandu University for course fees,Education,5862
Money sent to Robert Thompson ₹7086,Transfer,7086
Food order from Roadhouse Cafe ₹4727,Food,4727
Money sent to Taylor Sanders ₹15202,Transfer,15202
Money sent to Shane Mcguire ₹15058,Transfer,15058
Amazon Prime subscription Rs 19616,Entertainment,19616
Sent 15176 to Tribhuvan University for course fees,Education,15176
Movie tickets at FCube NPR 2247,Entertainment,2247
Spent ₹19669 at KFC,Food,19669
Sent 6491 to Kathmandu University for course fees,Education,6491
Cleared water dues Rs 5039,Utilities,5039
Mobile recharge for NTC NPR 5201,Mobile Topup,5201
Online shopping 10123,Shopping,10123
Fuel at Sajha Petrol Rs 1686,Transportation,1686
Cleared electricity dues Rs 3488,Utilities,3488
Public transport pass NPR 17640,Transportation,17640
Concert tickets Rs 280,Entertainment,280
Purchase at Daraz Rs 1570,Shopping,1570
Food order from OR2K ₹16561,Food,16561
Spent ₹6824 at OR2K,Food,6824
Taxi fare Rs 18340,Transportation,18340
Public transport pass NPR 10066,Transportation,10066
Medical bill at Grande Rs 18006,Healthcare,18006
Cleared internet dues Rs 11976,Utilities,11976
Fuel at Shiva Fuel Rs 3767,Transportation,3767
Recharged Ncell mobile with NPR 5255,Mobile Topup,5255
internet bill payment NPR 10289,Utilities,10289
Public transport pass NPR 3791,Transportation,3791
Taxi fare Rs 15653,Transportation,15653
Online shopping 15988,Shopping,15988
Online shopping 5056,Shopping,5056
Mobile recharge for NTC NPR 5539,Mobile Topup,5539
Mobile recharge for NTC NPR 2560,Mobile Topup,2560
Food order from Roadhouse Cafe ₹19721,Food,19721
Cleared gas dues Rs 7378,Utilities,7378
Education payment to Whitehouse College Rs 19805,Education,19805
Fuel at Nepal Oil Rs 5400,Transportation,5400
Online shopping 16287,Shopping,16287
Paid Rs 18969 to Whitehouse College for tuition,Education,18969
Dining at Pizza Hut Rs 10018,Food,10018
Spent ₹16870 at KFC,Food,16870
Movie tickets at QFX NPR 18719,Entertainment,18719
Recharged Smart Cell mobile with NPR 5864,Mobile Topup,5864
internet bill payment NPR 18338,Utilities,18338
Food order from KFC ₹4277,Food,4277
Online shopping 13944,Shopping,13944
Spent ₹16666 at KFC,Food,16666
Paid NPR 16727 for NTC topup,Mobile Topup,16727
Transfer to QOZU01825000948056 NPR 14732,Transfer,14732
Netflix subscription Rs 10200,Entertainment,10200
Concert tickets Rs 2474,Entertainment,2474
Sent Rs 17872 to Heather Alvarado,Transfer,17872
Paid Rs 1653 to Tribhuvan University for tuition,Education,1653
Medical bill at Teaching Hospital Rs 9409,Healthcare,9409
Spent ₹5683 at OR2K,Food,5683
Sent Rs 14465 to Felicia Cummings,Transfer,14465
Doctor consultation fee Rs 18231,Healthcare,18231
Money sent to Sarah Adams ₹19337,Transfer,19337
Dining at OR2K Rs 14578,Food,14578
Fuel at Sajha Petrol Rs 13154,Transportation,13154
Doctor consultation fee Rs 16718,Healthcare,16718
Online shopping 1689,Shopping,1689
Taxi fare Rs 19828,Transportation,19828
books bought for Rs 6864,Shopping,6864
Spent ₹6931 at Pizza Hut,Food,6931
Money sent to Kevin Parks ₹11349,Transfer,11349
Medical bill at Teaching Hospital Rs 3615,Healthcare,3615
Paid Rs 14637 for internet bill,Utilities,14637
books bought for Rs 4496,Shopping,4496
Sent 12078 to Tribhuvan University for course fees,Education,12078
Money sent to John Patterson ₹7075,Transfer,7075
Doctor consultation fee Rs 13543,Healthcare,13543
Education payment to Whitehouse College Rs 11932,Education,11932
Paid Rs 15078 for internet bill,Utilities,15078
Pharmacy purchase NPR 6848,Healthcare,6848
Paid Rs 14397 for internet bill,Utilities,14397
Public transport pass NPR 8074,Transportation,8074
Money sent to Kevin Galvan ₹6484,Transfer,6484
Medical bill at Teaching Hospital Rs 15749,Healthcare,15749
Cleared gas dues Rs 8292,Utilities,8292
Sent 10868 to Whitehouse College for course fees,Education,10868
Doctor consultation fee Rs 1208,Healthcare,1208
Transfer to WMKO59404980017358 NPR 6565,Transfer,6565
Sent Rs 19407 to Zachary Ferguson,Transfer,19407
Food order from Roadhouse Cafe ₹5329,Food,5329
Public transport pass NPR 4086,Transportation,4086
Movie tickets at FCube NPR 9402,Entertainment,9402
Pharmacy purchase NPR 8410,Healthcare,8410
Online shopping 4766,Shopping,4766
Spent ₹15006 at KFC,Food,15006
Transfer to HRSM52064251296196 NPR 2946,Transfer,2946
Dining at OR2K Rs 18877,Food,18877
Education payment to Tribhuvan University Rs 5512,Education,5512
Doctor consultation fee Rs 7584,Healthcare,7584
Dining at OR2K Rs 9539,Food,9539
Paid NPR 3492 for Ncell topup,Mobile Topup,3492
Mobile recharge for NTC NPR 6500,Mobile Topup,6500
Paid NPR 9679 for Ncell topup,Mobile Topup,9679
Purchase at New Road Shop Rs 15424,Shopping,15424
Recharged Ncell mobile with NPR 12713,Mobile Topup,12713
Online shopping 9480,Shopping,9480
Taxi fare Rs 10030,Transportation,10030
Medical bill at Mediciti Rs 19103,Healthcare,19103
Medical bill at Norvic Rs 18723,Healthcare,18723
Sent 13152 to Kathmandu University for course fees,Education,13152
Food order from OR2K ₹17723,Food,17723
Cleared electricity dues Rs 15785,Utilities,15785
Dining at OR2K Rs 5168,Food,5168
Paid Rs 2125 to Tribhuvan University for tuition,Education,2125
Food order from Pizza Hut ₹4072,Food,4072
Sent Rs 4631 to Jennifer Waller,Transfer,4631
Fuel at Shiva Fuel Rs 3415,Transportation,3415
Transfer to PZQE74376631790071 NPR 6829,Transfer,6829
clothes bought for Rs 14026,Shopping,14026
Public transport pass NPR 11210,Transportation,11210
Movie tickets at FCube NPR 19929,Entertainment,19929
Cleared internet dues Rs 10360,Utilities,10360
Recharged Smart Cell mobile with NPR 4404,Mobile Topup,4404
Education payment to Kathmandu University Rs 19739,Education,19739
Taxi fare Rs 5685,Transportation,5685
Sent Rs 17519 to James Thomas,Transfer,17519
Money sent to Maria Turner ₹3559,Transfer,3559
Mobile recharge for Smart Cell NPR 1469,Mobile Topup,1469
Spent ₹13246 at Roadhouse Cafe,Food,13246
Pharmacy purchase NPR 3013,Healthcare,3013
Sent 6056 to Kathmandu University for course fees,Education,6056
Mobile recharge for Ncell NPR 14872,Mobile Topup,14872
Dining at Pizza Hut Rs 9760,Food,9760
Cleared water dues Rs 11262,Utilities,11262
Netflix subscription Rs 8516,Entertainment,8516
YouTube Premium subscription Rs 4513,Entertainment,4513
Medical bill at Grande Rs 10477,Healthcare,10477
Mobile recharge for Ncell NPR 19992,Mobile Topup,19992
Amazon Prime subscription Rs 11166,Entertainment,11166
Spent ₹2529 at KFC,Food,2529
Transfer to KCNG67931104206836 NPR 18061,Transfer,18061
Paid NPR 3250 for NTC topup,Mobile Topup,3250
Sent Rs 16692 to Michael Johnson,Transfer,16692
Taxi fare Rs 1917,Transportation,1917
Cleared electricity dues Rs 15466,Utilities,15466
Concert tickets Rs 10462,Entertainment,10462
Doctor consultation fee Rs 1818,Healthcare,1818
Taxi fare Rs 18920,Transportation,18920
Paid Rs 8787 for electricity bill,Utilities,8787
clothes bought for Rs 19724,Shopping,19724
electricity bill payment NPR 11370,Utilities,11370
electronics bought for Rs 16521,Shopping,16521
Money sent to Stacey Gould ₹12673,Transfer,12673
Pharmacy purchase NPR 18071,Healthcare,18071
Sent 14713 to Kathmandu University for course fees,Education,14713
Doctor consultation fee Rs 5182,Healthcare,5182
Transfer to QKML79859724247297 NPR 17027,Transfer,17027
Netflix subscription Rs 10183,Entertainment,10183
Paid Rs 18973 to Tribhuvan University for tuition,Education,18973
Paid Rs 105 to Whitehouse College for tuition,Education,105
Dining at Roadhouse Cafe Rs 7461,Food,7461
Sent 11889 to Kathmandu University for course fees,Education,11889
Sent 3028 to Kathmandu University for course fees,Education,3028
Paid NPR 9092 for NTC topup,Mobile Topup,9092
groceries bought for Rs 11385,Shopping,11385
Paid Rs 4206 to Whitehouse College for tuition,Education,4206
Money sent to Michael Parker ₹3432,Transfer,3432
Mobile recharge for Smart Cell NPR 2864,Mobile Topup,2864
Education payment to Tribhuvan University Rs 17696,Education,17696
Dining at Pizza Hut Rs 2223,Food,2223
Concert tickets Rs 9448,Entertainment,9448
Doctor consultation fee Rs 8985,Healthcare,8985
Spent ₹12980 at KFC,Food,12980
Sent 19725 to Tribhuvan University for course fees,Education,19725
Movie tickets at FCube NPR 17571,Entertainment,17571
Paid NPR 213 for NTC topup,Mobile Topup,213
Food order from Pizza Hut ₹6617,Food,6617
Mobile recharge for Smart Cell NPR 19779,Mobile Topup,19779
Medical bill at Grande Rs 4040,Healthcare,4040
Public transport pass NPR 6653,Transportation,6653
electronics bought for Rs 8546,Shopping,8546
Pharmacy purchase NPR 1310,Healthcare,1310
Pharmacy purchase NPR 9481,Healthcare,9481
Recharged Smart Cell mobile with NPR 12602,Mobile Topup,12602
Money sent to Christopher Ramirez ₹19540,Transfer,19540
Fuel at Shiva Fuel Rs 7369,Transportation,7369
Money sent to Jodi Browning ₹3842,Transfer,3842
internet bill payment NPR 8241,Utilities,8241
internet bill payment NPR 7321,Utilities,7321
Movie tickets at QFX NPR 18031,Entertainment,18031
Sent Rs 17471 to Cody Hatfield,Transfer,17471
Food order from OR2K ₹8940,Food,8940
Sent Rs 2755 to Robert Garza,Transfer,2755
Sent 17476 to Tribhuvan University for course fees,Education,17476
Public transport pass NPR 10867,Transportation,10867
Online shopping 11202,Shopping,11202
Public transport pass NPR 2742,Transportation,2742
Mobile recharge for Smart Cell NPR 3881,Mobile Topup,3881
Public transport pass NPR 6450,Transportation,6450
Spent ₹15092 at Pizza Hut,Food,15092
clothes bought for Rs 4169,Shopping,4169
Online shopping 566,Shopping,566
Fuel at Shiva Fuel Rs 436,Transportation,436
Sent Rs 485 to Adam Peterson,Transfer,485
Purchase at New Road Shop Rs 4123,Shopping,4123
Movie tickets at QFX NPR 5252,Entertainment,5252
Public transport pass NPR 16341,Transportation,16341
Cleared electricity dues Rs 15144,Utilities,15144
Purchase at New Road Shop Rs 17311,Shopping,17311
Public transport pass NPR 16356,Transportation,16356
Transfer to GEUM30826309958321 NPR 12959,Transfer,12959
Education payment to Whitehouse College Rs 19007,Education,19007
electricity bill payment NPR 4120,Utilities,4120
Paid NPR 14264 for Smart Cell topup,Mobile Topup,14264
Sent 6173 to Whitehouse College for course fees,Education,6173
Paid Rs 17769 for internet bill,Utilities,17769
Purchase at New Road Shop Rs 18584,Shopping,18584
Fuel at Sajha Petrol Rs 8111,Transportation,8111
Doctor consultation fee Rs 4132,Healthcare,4132
Sent Rs 1231 to Alexander Smith,Transfer,1231
Cleared water dues Rs 13695,Utilities,13695
Cleared water dues Rs 5033,Utilities,5033
Paid NPR 3913 for Smart Cell topup,Mobile Topup,3913
Concert tickets Rs 3746,Entertainment,3746
YouTube Premium subscription Rs 5339,Entertainment,5339
Concert tickets Rs 15249,Entertainment,15249
Doctor consultation fee Rs 1718,Healthcare,1718
Recharged Ncell mobile with NPR 1242,Mobile Topup,1242
Purchase at New Road Shop Rs 16020,Shopping,16020
Netflix subscription Rs 12962,Entertainment,12962
Fuel at Shiva Fuel Rs 1749,Transportation,1749
Dining at OR2K Rs 8001,Food,8001
Purchase at New Road Shop Rs 12456,Shopping,12456
Paid Rs 15051 for internet bill,Utilities,15051
Movie tickets at QFX NPR 3995,Entertainment,3995
Paid Rs 16494 for internet bill,Utilities,16494
Food order from OR2K ₹15883,Food,15883
Online shopping 349,Shopping,349
Paid NPR 6960 for Ncell topup,Mobile Topup,6960
Money sent to Kylie Murray ₹6916,Transfer,6916
Pharmacy purchase NPR 19275,Healthcare,19275
Online shopping 797,Shopping,797
Fuel at Nepal Oil Rs 3648,Transportation,3648
Pharmacy purchase NPR 12199,Healthcare,12199
Paid NPR 833 for NTC topup,Mobile Topup,833
Fuel at Shiva Fuel Rs 19582,Transportation,19582
Purchase at Daraz Rs 3987,Shopping,3987
Sent 13238 to Whitehouse College for course fees,Education,13238
Sent Rs 10288 to Donna Ryan,Transfer,10288
Purchase at Sastodeal Rs 10386,Shopping,10386
Money sent to Ryan Crawford ₹14962,Transfer,14962
Public transport pass NPR 17289,Transportation,17289
Money sent to Jesse Gonzales ₹16872,Transfer,16872
YouTube Premium subscription Rs 6230,Entertainment,6230
Concert tickets Rs 7758,Entertainment,7758
Movie tickets at QFX NPR 12319,Entertainment,12319
Paid NPR 5522 for Ncell topup,Mobile Topup,5522
Pharmacy purchase NPR 7029,Healthcare,7029
Movie tickets at FCube NPR 16438,Entertainment,16438
Paid NPR 14768 for Ncell topup,Mobile Topup,14768
Concert tickets Rs 8144,Entertainment,8144
electricity bill payment NPR 6866,Utilities,6866
Paid Rs 11343 to Kathmandu University for tuition,Education,11343
Concert tickets Rs 11350,Entertainment,11350
Doctor consultation fee Rs 19576,Healthcare,19576
Cleared internet dues Rs 6556,Utilities,6556
Sent 17710 to Kathmandu University for course fees,Education,17710
Medical bill at Norvic Rs 3616,Healthcare,3616
Pharmacy purchase NPR 15913,Healthcare,15913
Recharged Smart Cell mobile with NPR 18186,Mobile Topup,18186
Recharged NTC mobile with NPR 607,Mobile Topup,607
Education payment to Whitehouse College Rs 941,Education,941
Spent ₹13184 at Pizza Hut,Food,13184
Mobile recharge for NTC NPR 7476,Mobile Topup,7476
Sent Rs 11203 to Matthew Osborne,Transfer,11203
water bill payment NPR 4910,Utilities,4910
Money sent to Evan Turner ₹8849,Transfer,8849
